Record_ID,Timestamp,Admin_ID,Driver_ID,Vehicle_ID,Brand,Vehicle_Model,Category,Max_Range_km,Battery_Capacity_kWh,Vehicle_Weight_kg,Motor_Spec_kW,Battery_Percentage,Battery_Health_Percentage,Passenger_Count,Total_Load_Weight_kg,Remaining_Range_km,Road_Type,Vehicle_Status,Speed_kmph,Overspeed,Distance_Travelled_km,Energy_Consumed_kWh,Charging_Status,Charging_Duration_Hours,Workshop_Visit,Maintenance_Cost,OT_Maintenance_Cost,Breakdown,Income_Generated,Total_Expense,Driver_Safety_Score
21,2026-01-01 13:00:00,A002,D00021,EV00021,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,96,79,1,1680,350,Highway,Running,120,Yes,270,36.49,No,0.0,Yes,4687,1252,No,9450,5939,85
22,2026-01-01 13:15:00,A002,D00022,EV00022,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,71,93,3,1820,260,City,Running,37,No,44,5.95,No,0.0,No,779,0,No,1540,779,100
23,2026-01-01 13:30:00,A003,D00023,EV00023,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,92,94,4,1596,263,Mixed,Running,58,No,145,22.31,No,0.0,No,639,0,No,5075,639,100
24,2026-01-01 13:45:00,A003,D00024,EV00024,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,55,96,2,1456,169,Highway,Running,76,No,124,19.08,No,0.0,No,201,0,No,4340,201,100
25,2026-01-01 14:00:00,A003,D00025,EV00025,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,51,96,0,1316,138,City,Running,71,No,63,9.69,No,0.0,No,106,0,No,2205,106,100
26,2026-01-01 14:15:00,A003,D00026,EV00026,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,68,97,3,1526,201,Mixed,Running,47,No,62,9.54,No,0.0,No,29,0,No,2170,29,100
27,2026-01-01 14:30:00,A003,D00027,EV00027,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,84,89,3,1745,311,Mixed,Running,103,Yes,60,7.69,No,0.0,No,2266,0,No,2100,2266,90
28,2026-01-01 14:45:00,A003,D00028,EV00028,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,25,76,4,1815,73,City,Running,39,No,80,10.26,No,0.0,No,5673,0,No,2800,5673,100
29,2026-01-01 15:00:00,A003,D00029,EV00029,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,72,96,2,1840,289,City,Running,34,No,76,10.56,No,0.0,No,132,0,No,2660,132,100
30,2026-01-01 15:15:00,A003,D00030,EV00030,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,26,75,4,1620,82,Highway,Running,95,No,125,17.86,No,0.0,No,4199,0,No,4375,4199,100
31,2026-01-01 15:30:00,A003,D00031,EV00031,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,49,87,3,1550,158,City,Running,79,No,113,16.14,No,0.0,No,1780,0,No,3955,1780,100
32,2026-01-01 15:45:00,A003,D00032,EV00032,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,29,86,3,1550,100,Mixed,Running,47,No,153,21.86,No,0.0,No,1778,0,No,5355,1778,100
33,2026-01-01 16:00:00,A004,D00033,EV00033,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,55,82,0,1985,264,City,Running,48,No,115,14.02,No,0.0,No,1389,0,No,4025,1389,100
34,2026-01-01 16:15:00,A004,D00034,EV00034,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,16,94,0,1985,100,Highway,Charging,0,No,275,33.54,Yes,2.4,No,444,0,No,9625,444,100
35,2026-01-01 16:30:00,A004,D00035,EV00035,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,18,87,2,2125,104,Highway,Charging,0,No,208,25.37,Yes,2.3,No,1878,0,No,7280,1878,100
36,2026-01-01 16:45:00,A004,D00036,EV00036,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,84,90,3,2195,503,Highway,Running,139,Yes,218,26.59,No,0.0,No,767,0,No,7630,767,90
37,2026-01-01 17:00:00,A004,D00037,EV00037,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,97,88,1,2055,540,Mixed,Running,97,No,121,14.76,No,0.0,No,1310,0,No,4235,1310,100
38,2026-01-01 17:15:00,A004,D00038,EV00038,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,25,95,0,1340,88,City,Running,63,No,55,7.86,No,0.0,No,81,0,No,1925,81,100
39,2026-01-01 17:30:00,A004,D00039,EV00039,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,17,96,3,1550,60,City,Charging,0,No,111,15.86,Yes,2.4,No,113,0,No,3885,113,100
40,2026-01-01 17:45:00,A004,D00040,EV00040,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,13,84,3,1550,44,Mixed,Charging,0,No,150,21.43,Yes,2.5,No,1961,0,No,5250,1961,100
41,2026-01-01 18:00:00,A004,D00041,EV00041,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,84,99,3,1550,333,Mixed,Running,85,No,138,19.71,No,0.0,No,153,0,No,4830,153,100
42,2026-01-01 18:15:00,A004,D00042,EV00042,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,98,96,3,2225,470,City,Running,21,No,30,3.75,No,0.0,No,4,0,No,1050,4,100
43,2026-01-01 18:30:00,A005,D00043,EV00043,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,30,96,3,1820,113,City,Running,36,No,78,10.54,No,0.0,No,35,0,No,2730,35,100
44,2026-01-01 18:45:00,A005,D00044,EV00044,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,63,81,1,1680,223,Mixed,Running,49,No,157,21.22,No,0.0,No,2006,0,No,5495,2006,100
45,2026-01-01 19:00:00,A005,D00045,EV00045,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,82,79,2,1750,275,Mixed,Under Maintenance,0,No,57,7.7,No,0.0,Yes,4187,424,No,1995,4611,95
46,2026-01-01 19:15:00,A005,D00046,EV00046,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,19,81,1,1680,67,Mixed,Charging,0,No,122,16.49,Yes,2.3,Yes,2275,1189,No,4270,3464,95
47,2026-01-01 19:30:00,A005,D00047,EV00047,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,25,83,0,1985,122,City,Running,65,No,35,4.27,No,0.0,No,2201,0,No,1225,2201,100
48,2026-01-01 19:45:00,A005,D00048,EV00048,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,92,92,0,1985,535,Mixed,Running,51,No,177,21.59,No,0.0,No,508,0,No,6195,508,100
49,2026-01-01 20:00:00,A005,D00049,EV00049,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,48,87,3,2225,209,City,Running,70,No,55,6.88,No,0.0,No,1184,0,No,1925,1184,100
50,2026-01-01 20:15:00,A005,D00050,EV00050,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,37,88,1,2085,193,Highway,Running,112,Yes,175,21.88,No,0.0,No,2050,0,No,6125,2050,90
51,2026-01-01 20:30:00,A005,D00051,EV00051,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,45,96,4,2400,192,Mixed,Running,110,Yes,177,26.03,No,0.0,No,102,0,No,6195,102,90
52,2026-01-01 20:45:00,A005,D00052,EV00052,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,38,78,2,2260,139,Highway,Under Maintenance,0,No,152,22.35,No,0.0,No,6521,0,No,5320,6521,100
53,2026-01-01 21:00:00,A006,D00053,EV00053,BYD,BYD Atto 3,SUV,521,60.5,1750,150,68,98,4,2030,287,City,Running,61,No,97,12.6,No,0.0,No,189,0,No,3395,189,100
54,2026-01-01 21:15:00,A006,D00054,EV00054,BYD,BYD Atto 3,SUV,521,60.5,1750,150,42,98,4,2030,202,Highway,Running,80,No,270,35.06,No,0.0,No,136,0,No,9450,136,100
55,2026-01-01 21:30:00,A006,D00055,EV00055,BYD,BYD Atto 3,SUV,521,60.5,1750,150,68,100,4,2030,293,City,Running,30,No,75,9.74,No,0.0,No,102,0,No,2625,102,100
56,2026-01-01 21:45:00,A006,D00056,EV00056,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,64,97,1,2085,324,City,Running,78,No,119,14.88,No,0.0,No,149,0,No,4165,149,100
57,2026-01-01 22:00:00,A006,D00057,EV00057,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,88,99,4,2295,470,Mixed,Running,52,No,142,17.75,No,0.0,No,55,0,No,4970,55,100
58,2026-01-01 22:15:00,A006,D00058,EV00058,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,43,98,1,2085,220,City,Running,33,No,22,2.75,No,0.0,No,81,0,No,770,81,100
59,2026-01-01 22:30:00,A006,D00059,EV00059,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,84,88,2,2155,438,Highway,Running,90,No,226,28.25,No,0.0,No,1839,0,No,7910,1839,100
60,2026-01-01 22:45:00,A006,D00060,EV00060,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,26,97,3,1550,93,City,Running,71,No,78,11.14,No,0.0,No,119,0,No,2730,119,100
61,2026-01-01 23:00:00,A006,D00061,EV00061,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,82,96,1,1410,315,Mixed,Running,75,No,115,16.43,No,0.0,No,197,0,No,4025,197,100
62,2026-01-01 23:15:00,A006,D00062,EV00062,Tata,Tata Punch EV,Compact SUV,421,35.0,1340,90,94,75,0,1340,282,Mixed,Under Maintenance,0,No,119,17.0,No,0.0,Yes,4966,1217,No,4165,6183,95
63,2026-01-01 23:30:00,A007,D00063,EV00063,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,75,80,1,1386,169,City,Running,75,No,76,11.69,No,0.0,Yes,2466,1079,No,2660,3545,95
64,2026-01-01 23:45:00,A007,D00064,EV00064,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,68,98,2,1456,203,Mixed,Running,62,No,129,19.85,No,0.0,No,166,0,No,4515,166,100
65,2026-01-02 00:00:00,A007,D00065,EV00065,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,55,97,4,1596,171,Highway,Running,100,No,179,27.54,No,0.0,No,171,0,No,6265,171,100
66,2026-01-02 00:15:00,A007,D00066,EV00066,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,10,97,0,1316,29,Mixed,Charging,0,No,120,18.46,Yes,2.6,No,65,0,No,4200,65,100
67,2026-01-02 00:30:00,A007,D00067,EV00067,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,97,89,4,1596,243,City,Running,33,No,43,6.62,No,0.0,No,2306,0,No,1505,2306,100
68,2026-01-02 00:45:00,A007,D00068,EV00068,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,78,86,2,2155,350,City,Running,33,No,76,9.5,No,0.0,No,1074,0,No,2660,1074,100
69,2026-01-02 01:00:00,A007,D00069,EV00069,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,65,82,2,2155,300,Mixed,Running,89,No,177,22.12,No,0.0,No,1684,0,No,6195,1684,100
70,2026-01-02 01:15:00,A007,D00070,EV00070,BYD,BYD Atto 3,SUV,521,60.5,1750,150,29,94,4,2030,134,Highway,Running,62,No,110,14.29,No,0.0,No,696,0,No,3850,696,100
71,2026-01-02 01:30:00,A007,D00071,EV00071,BYD,BYD Atto 3,SUV,521,60.5,1750,150,39,86,3,1960,145,City,Running,29,No,37,4.81,No,0.0,No,993,0,No,1295,993,100
72,2026-01-02 01:45:00,A007,D00072,EV00072,BYD,BYD Atto 3,SUV,521,60.5,1750,150,77,97,2,1890,359,Mixed,Running,108,Yes,96,12.47,No,0.0,No,50,0,No,3360,50,90
73,2026-01-02 02:00:00,A007,D00073,EV00073,BYD,BYD Atto 3,SUV,521,60.5,1750,150,94,92,3,1960,373,City,Running,24,No,117,15.19,No,0.0,No,551,0,No,4095,551,100
74,2026-01-02 02:15:00,A008,D00074,EV00074,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,17,79,2,1675,53,City,Charging,0,No,70,8.97,Yes,2.4,No,5472,0,No,2450,5472,100
75,2026-01-02 02:30:00,A008,D00075,EV00075,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,84,100,1,1605,361,Mixed,Running,103,Yes,159,20.38,No,0.0,No,243,0,No,5565,243,90
76,2026-01-02 02:45:00,A008,D00076,EV00076,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,51,80,3,1745,179,Highway,Running,69,No,174,22.31,No,0.0,Yes,1167,678,No,6090,1845,95
77,2026-01-02 03:00:00,A008,D00077,EV00077,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,53,93,3,1745,205,Mixed,Running,68,No,174,22.31,No,0.0,No,327,0,No,6090,327,100
78,2026-01-02 03:15:00,A008,D00078,EV00078,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,56,95,1,1605,212,City,Running,41,No,111,14.23,No,0.0,No,13,0,No,3885,13,100
79,2026-01-02 03:30:00,A008,D00079,EV00079,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,96,100,1,2055,562,City,Running,20,No,50,6.1,No,0.0,No,243,0,No,1750,243,100
80,2026-01-02 03:45:00,A008,D00080,EV00080,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,60,85,1,2055,299,City,Running,34,No,55,6.71,No,0.0,No,1515,0,No,1925,1515,100
81,2026-01-02 04:00:00,A008,D00081,EV00081,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,76,88,2,2125,392,City,Running,79,No,90,10.98,No,0.0,No,987,0,No,3150,987,100
82,2026-01-02 04:15:00,A008,D00082,EV00082,Kia,Kia EV6,Premium Crossover,708,77.4,1985,168,47,94,2,2125,294,Highway,Running,60,No,239,29.15,No,0.0,No,666,0,No,8365,666,100
83,2026-01-02 04:30:00,A008,D00083,EV00083,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,57,88,2,2155,283,Mixed,Running,89,No,82,10.25,No,0.0,No,1898,0,No,2870,1898,100
84,2026-01-02 04:45:00,A009,D00084,EV00084,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,94,75,3,1745,272,City,Under Maintenance,0,No,102,13.08,No,0.0,No,4929,0,No,3570,4929,100
85,2026-01-02 05:00:00,A009,D00085,EV00085,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,18,91,4,1815,72,Highway,Charging,0,No,190,24.36,Yes,2.3,No,321,0,No,6650,321,100
86,2026-01-02 05:15:00,A009,D00086,EV00086,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,56,86,4,1596,136,City,Running,31,No,103,15.85,No,0.0,No,1769,0,No,3605,1769,100
87,2026-01-02 05:30:00,A009,D00087,EV00087,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,24,84,4,1596,57,City,Charging,0,No,101,15.54,Yes,2.2,No,1605,0,No,3535,1605,100
88,2026-01-02 05:45:00,A009,D00088,EV00088,Citroën,Citroën ë-C3,Hatchback,320,29.2,1316,42,15,96,2,1456,44,Mixed,Charging,0,No,162,24.92,Yes,2.4,No,192,0,No,5670,192,100
89,2026-01-02 06:00:00,A009,D00089,EV00089,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,70,90,4,2295,315,City,Running,69,No,92,11.5,No,0.0,No,653,0,No,3220,653,100
90,2026-01-02 06:15:00,A009,D00090,EV00090,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,94,81,3,2225,381,City,Running,23,No,84,10.5,No,0.0,No,1389,0,No,2940,1389,100
91,2026-01-02 06:30:00,A009,D00091,EV00091,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,54,92,1,2085,259,City,Running,24,No,48,6.0,No,0.0,No,398,0,No,1680,398,100
92,2026-01-02 06:45:00,A009,D00092,EV00092,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,39,88,2,2155,204,Highway,Running,113,Yes,179,22.38,No,0.0,No,2208,0,No,6265,2208,90
93,2026-01-02 07:00:00,A009,D00093,EV00093,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,45,93,0,2015,236,Mixed,Running,48,No,122,15.25,No,0.0,No,393,0,No,4270,393,100
94,2026-01-02 07:15:00,A010,D00094,EV00094,Mahindra,Mahindra XUV400 EV,Compact SUV,456,39.4,1578,110,33,95,3,1788,139,Highway,Running,61,No,126,17.75,No,0.0,No,222,0,No,4410,222,100
95,2026-01-02 07:30:00,A010,D00095,EV00095,Mahindra,Mahindra XUV400 EV,Compact SUV,456,39.4,1578,110,52,76,4,1858,154,City,Running,22,No,120,16.9,No,0.0,No,3299,0,No,4200,3299,100
96,2026-01-02 07:45:00,A010,D00096,EV00096,Mahindra,Mahindra XUV400 EV,Compact SUV,456,39.4,1578,110,36,89,1,1648,129,City,Running,79,No,82,11.55,No,0.0,No,896,0,No,2870,896,100
97,2026-01-02 08:00:00,A010,D00097,EV00097,Mahindra,Mahindra XUV400 EV,Compact SUV,456,39.4,1578,110,40,76,0,1578,122,City,Running,21,No,83,11.69,No,0.0,Yes,6078,714,No,2905,6792,95
98,2026-01-02 08:15:00,A010,D00098,EV00098,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,42,95,3,1820,178,Highway,Running,122,Yes,324,43.78,No,0.0,No,279,0,No,11340,279,90
99,2026-01-02 08:30:00,A010,D00099,EV00099,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,53,76,3,1820,180,Highway,Running,106,Yes,132,17.84,No,0.0,No,5730,0,No,4620,5730,90
100,2026-01-02 08:45:00,A010,D00100,EV00100,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,62,94,4,1815,225,City,Running,64,No,27,3.46,No,0.0,No,575,0,No,945,575,100
101,2026-01-02 09:00:00,A010,D00101,EV00101,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,68,100,1,1605,292,Mixed,Running,74,No,159,20.38,No,0.0,No,151,0,No,5565,151,100
102,2026-01-02 09:15:00,A010,D00102,EV00102,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,66,90,1,1605,236,City,Running,57,No,74,9.49,No,0.0,No,349,0,No,2590,349,100
103,2026-01-02 09:30:00,A010,D00103,EV00103,Hyundai,Hyundai Kona Electric,Compact SUV,452,39.2,1535,100,77,76,4,1815,257,Highway,Under Maintenance,0,No,264,33.85,No,0.0,Yes,3365,629,No,9240,3994,95
104,2026-01-02 09:45:00,A011,D00104,EV00104,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,79,92,1,1680,295,City,Running,79,No,55,7.43,No,0.0,No,376,0,No,1925,376,100
105,2026-01-02 10:00:00,A011,D00105,EV00105,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,33,86,1,1680,124,Mixed,Running,63,No,153,20.68,No,0.0,No,1819,0,No,5355,1819,100
106,2026-01-02 10:15:00,A011,D00106,EV00106,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,64,79,3,1820,215,Mixed,Running,81,No,87,11.76,No,0.0,No,5827,0,No,3045,5827,100
107,2026-01-02 10:30:00,A011,D00107,EV00107,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,52,78,4,1890,172,Mixed,Under Maintenance,0,No,69,9.32,No,0.0,Yes,2712,1176,No,2415,3888,95
108,2026-01-02 10:45:00,A011,D00108,EV00108,MG,MG ZS EV,Compact SUV,461,50.3,1610,130,17,98,1,1680,77,Highway,Charging,0,No,322,43.51,Yes,2.4,No,291,0,No,11270,291,100
109,2026-01-02 11:00:00,A011,D00109,EV00109,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,15,98,2,2155,77,City,Charging,0,No,54,6.75,Yes,2.4,No,139,0,No,1890,139,100
110,2026-01-02 11:15:00,A011,D00110,EV00110,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,48,75,4,2295,204,Highway,Running,65,No,288,36.0,No,0.0,No,2852,0,No,10080,2852,100
111,2026-01-02 11:30:00,A011,D00111,EV00111,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,71,100,2,2155,400,Mixed,Running,108,Yes,93,11.62,No,0.0,No,37,0,No,3255,37,90
112,2026-01-02 11:45:00,A011,D00112,EV00112,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,55,94,2,2155,270,City,Running,47,No,101,12.62,No,0.0,No,779,0,No,3535,779,100
113,2026-01-02 12:00:00,A011,D00113,EV00113,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,70,94,1,2085,371,Mixed,Running,89,No,133,16.62,No,0.0,No,667,0,No,4655,667,100
114,2026-01-02 12:15:00,A012,D00114,EV00114,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,54,92,2,1840,207,City,Running,25,No,116,16.11,No,0.0,No,333,0,No,4060,333,100
115,2026-01-02 12:30:00,A012,D00115,EV00115,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,52,92,2,1840,200,City,Running,72,No,44,6.11,No,0.0,No,737,0,No,1540,737,100
116,2026-01-02 12:45:00,A012,D00116,EV00116,Tata,Tata Nexon EV,Compact SUV,489,45.0,1700,110,74,89,4,1980,288,Mixed,Running,61,No,103,14.31,No,0.0,No,827,0,No,3605,827,100
117,2026-01-02 13:00:00,A012,D00117,EV00117,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,49,94,4,2295,230,City,Running,29,No,20,2.5,No,0.0,No,762,0,No,700,762,100
118,2026-01-02 13:15:00,A012,D00118,EV00118,Hyundai,Hyundai Ioniq 5,Premium Crossover,631,72.6,2015,160,47,94,1,2085,262,Highway,Running,139,Yes,263,32.88,No,0.0,No,390,0,No,9205,390,90
119,2026-01-02 13:30:00,A012,D00119,EV00119,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,21,82,3,2330,71,City,Charging,0,No,67,9.85,Yes,2.3,No,895,0,No,2345,895,100
120,2026-01-02 13:45:00,A012,D00120,EV00120,Volkswagen,Volkswagen ID.4,SUV,520,77.0,2120,150,98,98,2,2260,396,City,Running,70,No,119,17.5,No,0.0,No,122,0,No,4165,122,100
121,2026-01-02 14:00:00,A012,D00121,EV00121,Mahindra,Mahindra XUV400 EV,Compact SUV,456,39.4,1578,110,40,99,2,1718,154,City,Running,35,No,50,7.04,No,0.0,No,222,0,No,1750,222,100
